datetime,open,high,low,close
2021-07-18,1.3774,1.37776,1.37575,1.37635
2021-07-19,1.37634,1.37635,1.36548,1.36691
2021-07-20,1.3669,1.36896,1.35721,1.36345
2021-07-21,1.36344,1.37232,1.35922,1.37121
2021-07-22,1.3712,1.37872,1.36906,1.37729
2021-07-23,1.37728,1.37803,1.37202,1.37499
2021-07-25,1.37596,1.37645,1.37506,1.37571
2021-07-26,1.37572,1.38336,1.37372,1.38263
2021-07-27,1.38262,1.38944,1.37669,1.38822
2021-07-28,1.38821,1.3911,1.38448,1.3906
2021-07-29,1.39061,1.39821,1.38983,1.39639
2021-07-30,1.39638,1.39835,1.38883,1.39005
2021-08-01,1.38996,1.39077,1.38938,1.38958
2021-08-02,1.38959,1.39327,1.3876,1.3891
2021-08-03,1.38909,1.3925,1.38872,1.39172
2021-08-04,1.39171,1.39579,1.38856,1.38897
2021-08-05,1.38898,1.39491,1.38725,1.39276
2021-08-06,1.39277,1.39332,1.38614,1.38732
2021-08-08,1.38769,1.38839,1.38584,1.38634
2021-08-09,1.38633,1.38945,1.38412,1.38469
2021-08-10,1.38468,1.38726,1.38363,1.38613
2021-08-11,1.38136,1.38881,1.38123,1.38665
2021-08-12,1.38664,1.38787,1.3795,1.38111
2021-08-13,1.38112,1.38751,1.37909,1.38693
2021-08-15,1.3865,1.38736,1.38569,1.38642
2021-08-16,1.38642,1.38786,1.3828,1.38409
2021-08-17,1.38408,1.38411,1.37263,1.37402
2021-08-18,1.37401,1.37866,1.37316,1.37432
2021-08-19,1.37433,1.375,1.36282,1.36303
2021-08-20,1.36308,1.36412,1.36023,1.36255
2021-08-22,1.36226,1.36313,1.36144,1.36247
2021-08-23,1.36248,1.37323,1.36246,1.37236
2021-08-24,1.37233,1.3748,1.3694,1.37249
2021-08-25,1.3725,1.3767,1.36968,1.37645
2021-08-26,1.37644,1.37681,1.36896,1.37004
2021-08-27,1.37003,1.37803,1.36801,1.3763
2021-08-29,1.3761,1.37662,1.37526,1.37628
2021-08-30,1.37627,1.37754,1.3734,1.3759
2021-08-31,1.37589,1.38079,1.3743,1.37524
2021-09-01,1.37525,1.37985,1.37314,1.37714
2021-09-02,1.37715,1.38399,1.37675,1.38364
2021-09-03,1.38365,1.38919,1.38182,1.38677
2021-09-05,1.38636,1.3869,1.38574,1.38578
2021-09-06,1.38579,1.38598,1.38188,1.38388
2021-09-07,1.38391,1.38567,1.3768,1.37793
2021-09-08,1.37792,1.37906,1.37267,1.3767
2021-09-09,1.37669,1.38629,1.37537,1.38385
2021-09-10,1.38386,1.38887,1.38271,1.38409
2021-09-12,1.38418,1.38528,1.38332,1.3839
2021-09-13,1.38391,1.38513,1.37973,1.38376
2021-09-14,1.38377,1.39132,1.38037,1.3808
2021-09-15,1.38081,1.3854,1.37929,1.38485
2021-09-16,1.38484,1.38497,1.37647,1.3798
2021-09-17,1.37979,1.3813,1.37279,1.3737
2021-09-19,1.37401,1.37523,1.37245,1.37289
2021-09-20,1.37287,1.37303,1.36409,1.36622
2021-09-21,1.36623,1.36931,1.36415,1.36576
2021-09-22,1.36575,1.36897,1.36096,1.36163
2021-09-23,1.36166,1.37509,1.36124,1.37211
2021-09-24,1.3721,1.37365,1.36581,1.36774
2021-09-26,1.36661,1.36759,1.36624,1.36686
2021-09-27,1.36687,1.37291,1.36583,1.37009
2021-09-28,1.37008,1.37176,1.35209,1.35417
2021-09-29,1.35416,1.35548,1.34125,1.34273
2021-09-30,1.34274,1.35163,1.34158,1.34688
2021-10-01,1.34687,1.35759,1.34339,1.35455
2021-10-03,1.35547,1.35758,1.35451,1.35702
2021-10-04,1.35701,1.36406,1.3532,1.36068
2021-10-05,1.36069,1.3648,1.35846,1.36264
2021-10-06,1.36263,1.36314,1.35441,1.35923
2021-10-07,1.35922,1.36388,1.35707,1.36195
2021-10-08,1.36192,1.36589,1.35836,1.36147
2021-10-10,1.36199,1.36273,1.36122,1.36161
2021-10-11,1.36163,1.3674,1.35846,1.35912
2021-10-12,1.35915,1.36374,1.35688,1.3577
2021-10-13,1.35769,1.36693,1.3576,1.36685
2021-10-14,1.36686,1.37345,1.36585,1.36683
2021-10-15,1.36684,1.37732,1.36683,1.37498
2021-10-17,1.37512,1.37653,1.37449,1.37608
2021-10-18,1.37609,1.37638,1.37092,1.37358
2021-10-19,1.37359,1.38339,1.37359,1.37925
2021-10-20,1.37926,1.38347,1.37425,1.38221
2021-10-21,1.38222,1.38333,1.37764,1.37915
2021-10-22,1.37914,1.38154,1.37362,1.37552
2021-10-24,1.37509,1.37651,1.37495,1.37622
2021-10-25,1.37629,1.37922,1.3742,1.37638
2021-10-26,1.37641,1.38298,1.3757,1.37657
2021-10-27,1.37656,1.37811,1.37097,1.3732
2021-10-28,1.3732,1.38151,1.37224,1.37988
2021-10-29,1.37989,1.38041,1.36684,1.3676
2021-10-31,1.368445,1.36897,1.36809,1.36828
2021-11-01,1.36829,1.36933,1.36422,1.36547
2021-11-02,1.36548,1.36678,1.36058,1.36164
2021-11-03,1.36182,1.36985,1.36075,1.36941
2021-11-04,1.3694,1.36944,1.34712,1.3508
2021-11-05,1.35079,1.3509,1.34245,1.34977
2021-11-07,1.34936,1.34984,1.34861,1.34907
2021-11-08,1.34906,1.358,1.34503,1.35639
2021-11-09,1.35638,1.35649,1.35485,1.35506
2021-11-10,1.35521,1.35651,1.34015,1.34122
2021-11-11,1.34121,1.34333,1.33588,1.3365
2021-11-12,1.33649,1.34263,1.33535,1.34193
2021-11-14,1.34157,1.34206,1.34115,1.34163
2021-11-15,1.34164,1.34496,1.34033,1.34102
2021-11-16,1.34103,1.3473,1.34103,1.34253
2021-11-17,1.34254,1.34963,1.33967,1.34886
2021-11-18,1.34889,1.35136,1.34641,1.3499
2021-11-19,1.34982,1.35099,1.34077,1.3452
2021-11-21,1.34562,1.34589,1.34304,1.34332
2021-11-22,1.34331,1.345,1.33845,1.33976
2021-11-23,1.33979,1.34094,1.33425,1.33753
2021-11-24,1.33752,1.33901,1.33159,1.33299
2021-11-25,1.33301,1.33537,1.33057,1.33126
2021-11-26,1.33125,1.3364,1.32789,1.33383
2021-11-28,1.33356,1.33415,1.33286,1.33406
2021-11-29,1.33405,1.33631,1.32877,1.33144
2021-11-30,1.33143,1.33707,1.31967,1.32955
2021-12-01,1.32956,1.33519,1.32618,1.32777
2021-12-02,1.32776,1.33339,1.32718,1.32997
2021-12-03,1.33,1.33097,1.32097,1.32392
2021-12-05,1.32412,1.32506,1.32335,1.32356
2021-12-06,1.32352,1.32861,1.32227,1.32625
2021-12-07,1.32626,1.32895,1.32092,1.32455
2021-12-08,1.32457,1.32615,1.31611,1.32091
2021-12-09,1.3209,1.32247,1.31709,1.32244
2021-12-10,1.32243,1.32758,1.31874,1.32728
2021-12-12,1.32577,1.32617,1.32545,1.32574
2021-12-13,1.32573,1.3269,1.32076,1.32133
2021-12-14,1.32134,1.32569,1.31913,1.32299
2021-12-15,1.323,1.32829,1.31723,1.32624
2021-12-16,1.32623,1.33746,1.32416,1.33229
2021-12-17,1.3323,1.33397,1.32317,1.32437
2021-12-19,1.32401,1.32461,1.32225,1.32291
2021-12-20,1.32292,1.32448,1.31736,1.32095
2021-12-21,1.32096,1.32711,1.31977,1.32685
2021-12-22,1.32684,1.33635,1.32405,1.33509
2021-12-23,1.33508,1.34381,1.3343,1.34064
2021-12-24,1.34062,1.34195,1.33878,1.33937
2021-12-26,1.33932,1.34094,1.33918,1.34028
2021-12-27,1.34026,1.34454,1.33918,1.34417
2021-12-28,1.34419,1.34618,1.34152,1.34335
2021-12-29,1.34334,1.34998,1.34091,1.34971
2021-12-30,1.3497,1.3522,1.34545,1.34977
2021-12-31,1.34976,1.35502,1.34658,1.35303
2022-01-02,1.35288,1.35348,1.35207,1.35218
2022-01-03,1.35217,1.35298,1.34311,1.34826
2022-01-04,1.34825,1.35576,1.34596,1.35304
2022-01-05,1.35302,1.35987,1.35228,1.3555
2022-01-06,1.35549,1.35593,1.34905,1.3533
2022-01-07,1.35331,1.35977,1.35275,1.35889
2022-01-09,1.35826,1.3594,1.35794,1.35917
2022-01-10,1.35918,1.36038,1.35321,1.357985
2022-01-11,1.35799,1.363675,1.35617,1.36329
2022-01-12,1.363285,1.371475,1.36211,1.37063
2022-01-13,1.370625,1.374885,1.370105,1.371345
2022-01-14,1.37134,1.374315,1.36535,1.36756
2022-01-16,1.36761,1.36807,1.36659,1.36731
2022-01-17,1.36731,1.368995,1.36375,1.36476
2022-01-18,1.364765,1.36616,1.357315,1.35997
2022-01-19,1.35998,1.36492,1.358815,1.3609
2022-01-20,1.360995,1.3662,1.35871,1.359695
2022-01-21,1.3597,1.36023,1.354575,1.355315
2022-01-23,1.355285,1.355555,1.354675,1.35552
2022-01-24,1.355525,1.35656,1.34405,1.34885
2022-01-25,1.348845,1.351895,1.343645,1.35098
2022-01-26,1.350985,1.352495,1.34447,1.34675
2022-01-27,1.346745,1.346745,1.33581,1.338755
2022-01-28,1.33876,1.3433,1.33653,1.340045
2022-01-30,1.33971,1.340505,1.338695,1.34027
2022-01-31,1.340275,1.346065,1.339325,1.344485
2022-02-01,1.34449,1.352825,1.343475,1.352485
2022-02-02,1.35248,1.358765,1.351695,1.356435
2022-02-03,1.356425,1.3628,1.35383,1.35981
2022-02-04,1.35977,1.3615,1.35051,1.353335
2022-02-06,1.353785,1.354835,1.35305,1.353305
2022-02-07,1.35331,1.355095,1.349055,1.35371
2022-02-08,1.353715,1.356415,1.35079,1.3547
2022-02-09,1.354715,1.358935,1.352695,1.35327
2022-02-10,1.353275,1.364385,1.35235,1.35493
2022-02-11,1.354925,1.360975,1.351435,1.355725
2022-02-13,1.35542,1.35718,1.355265,1.35692
2022-02-14,1.356915,1.357215,1.34952,1.35324
2022-02-15,1.353245,1.356715,1.348665,1.354065
2022-02-16,1.35407,1.36013,1.353885,1.358175
2022-02-17,1.35817,1.36381,1.35558,1.361495
2022-02-18,1.36147,1.36429,1.357325,1.35884
2022-02-20,1.35922,1.359855,1.35879,1.359145
2022-02-21,1.359155,1.363865,1.3582,1.35951
2022-02-22,1.359515,1.36049,1.353855,1.35886
2022-02-23,1.35891,1.362075,1.3536,1.35451
2022-02-24,1.354505,1.354695,1.3273,1.33716
2022-02-25,1.337165,1.343885,1.336675,1.34099
2022-02-27,1.333705,1.33748,1.33287,1.33722
2022-02-28,1.337215,1.34318,1.33416,1.34221
2022-03-01,1.342205,1.34375,1.33024,1.33356
